[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34359111] {1, 100, 1}. MO sell arrived. Buy at 110.52 (34359111). [1, -110.52].
[34392763] {2, -100, 2}. MO buy arrived. Sell at 110.57 (34392763). [0, 0.05].
[34394906] {3, 400, 3}. MO sell arrived. Buy at 110.57 (34394906). [1, -110.52].
[34497463] {2, 100, 2}. MO sell arrived. Buy at 110.57 (34497463). [2, -221.09].
[35062375] {2, 100, 2}. MO sell arrived. Buy at 110.54 (35062375). [3, -331.63].
[35062376] {2, 100, 2}. MO sell arrived. Buy at 110.53 (35062376). [4, -442.16].
[35062388] {2, 100, 2}. MO sell arrived. Buy at 110.53 (35062388). [5, -552.69].
[35124837] {2, -300, 2}. MO buy arrived. Sell at 110.51 (35124837). [4, -442.18].
[35137674] {2, 100, 2}. MO sell arrived. Buy at 110.44 (35137674). [5, -552.62].
[35182861] {2, 100, 2}. MO sell arrived. Buy at 110.47 (35182861). [6, -663.09].
[35182864] {2, 100, 2}. MO sell arrived. Buy at 110.47 (35182864). [7, -773.56].
[35505847] {2, -100, 2}. MO buy arrived. Sell at 110.54 (35505847). [6, -663.02].
[35505847] {2, -100, 2}. MO buy arrived. Sell at 110.54 (35505847). [5, -552.48].
[35536944] {1, 100, 1}. MO sell arrived. Buy at 110.51 (35536944). [6, -662.99].
[35625781] {2, 100, 2}. MO sell arrived. Buy at 110.46 (35625781). [7, -773.45].
[35654180] {2, 100, 2}. MO sell arrived. Buy at 110.53 (35654180). [8, -883.98].
[36073664] {2, -100, 2}. MO buy arrived. Sell at 110.64 (36073664). [7, -773.34].
[36088471] {2, -100, 2}. MO buy arrived. Sell at 110.64 (36088471). [6, -662.70].
[36088472] {2, -100, 2}. MO buy arrived. Sell at 110.64 (36088472). [5, -552.06].
[36285844] {2, 100, 2}. MO sell arrived. Buy at 110.56 (36285844). [6, -662.62].
[36288790] {2, -100, 2}. MO buy arrived. Sell at 110.60 (36288790). [5, -552.02].
[36288790] {2, -100, 2}. MO buy arrived. Sell at 110.60 (36288790). [4, -441.42].
[36288790] {2, -100, 2}. MO buy arrived. Sell at 110.60 (36288790). [3, -330.82].
[36288791] {2, -100, 2}. MO buy arrived. Sell at 110.60 (36288791). [2, -220.22].
[36288793] {2, -100, 2}. MO buy arrived. Sell at 110.60 (36288793). [1, -109.62].
[36416746] {2, -100, 2}. MO buy arrived. Sell at 110.56 (36416746). [0, 0.94].
[36417588] {2, 100, 2}. MO sell arrived. Buy at 110.56 (36417588). [1, -109.62].
[36430739] {2, -200, 2}. MO buy arrived. Sell at 110.53 (36430739). [0, 0.91].
[36711198] {1, 100, 1}. MO sell arrived. Buy at 110.47 (36711198). [1, -109.56].
[36803638] {2, -100, 2}. MO buy arrived. Sell at 110.48 (36803638). [0, 0.92].
[37188409] {3, -100, 3}. MO buy arrived. Sell at 110.50 (37188409). [-1, 111.42].
[37188785] {3, -100, 3}. MO buy arrived. Sell at 110.51 (37188785). [-2, 221.93].
[37218991] {3, 100, 3}. MO sell arrived. Buy at 110.51 (37218991). [-1, 111.42].
[37252984] {2, 100, 2}. MO sell arrived. Buy at 110.49 (37252984). [0, 0.93].
[37401873] {2, 100, 2}. MO sell arrived. Buy at 110.43 (37401873). [1, -109.50].
[37401891] {2, 100, 2}. MO sell arrived. Buy at 110.43 (37401891). [2, -219.93].
[37401908] {2, 100, 2}. MO sell arrived. Buy at 110.42 (37401908). [3, -330.35].
[37445095] {1, -100, 1}. MO buy arrived. Sell at 110.44 (37445095). [2, -219.91].
[37445096] {1, -100, 1}. MO buy arrived. Sell at 110.44 (37445096). [1, -109.47].
[37445097] {1, -100, 1}. MO buy arrived. Sell at 110.45 (37445097). [0, 0.98].
[37454410] {2, -100, 2}. MO buy arrived. Sell at 110.43 (37454410). [-1, 111.41].
[37454410] {2, -100, 2}. MO buy arrived. Sell at 110.43 (37454410). [-2, 221.84].
[37454411] {2, -100, 2}. MO buy arrived. Sell at 110.45 (37454411). [-3, 332.29].
[37692774] {2, 200, 2}. MO sell arrived. Buy at 110.43 (37692774). [-2, 221.86].
[37777220] {1, -100, 1}. MO buy arrived. Sell at 110.44 (37777220). [-3, 332.30].
[37777220] {1, -100, 1}. MO buy arrived. Sell at 110.44 (37777220). [-4, 442.74].
[37777220] {1, -100, 1}. MO buy arrived. Sell at 110.44 (37777220). [-5, 553.18].
[37840283] {1, -100, 1}. MO buy arrived. Sell at 110.47 (37840283). [-6, 663.65].
[37967006] {2, 100, 2}. MO sell arrived. Buy at 110.53 (37967006). [-5, 553.12].
[37967006] {2, 100, 2}. MO sell arrived. Buy at 110.53 (37967006). [-4, 442.59].
[37967006] {2, 100, 2}. MO sell arrived. Buy at 110.53 (37967006). [-3, 332.06].
[38277700] {1, 100, 1}. MO sell arrived. Buy at 110.63 (38277700). [-2, 221.43].
