[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34205200] {3, -100, 3}. Buy at 33.82 (34205190). [1, -33.82].
[34207600] {2, 100, 2}. Sell at 33.81 (34207600). [0, -0.01].
[34208800] {2, 100, 2}. Sell at 33.82 (34208800). [-1, 33.81].
[34210800] {2, 100, 2}. Sell at 33.82 (34210800). [-2, 67.63].
[34212000] {2, -100, 2}. Buy at 33.82 (34211948). [-1, 33.81].
[34212800] {1, -200, 1}. Buy at 33.83 (34212799). [0, -0.02].
[34216000] {3, -100, 3}. Buy at 33.80 (34215957). [1, -33.82].
[34228800] {4, 100, 4}. Sell at 33.73 (34228800). [0, -0.09].
[34232400] {2, -100, 2}. Buy at 33.72 (34232263). [1, -33.81].
[34253200] {1, -100, 1}. Buy at 33.72 (34253010). [2, -67.53].
[34259200] {1, 400, 1}. Sell at 33.75 (34259199). [1, -33.78].
[34260000] {2, 100, 2}. Sell at 33.78 (34259989). [0, 0.00].
[34262400] {3, 300, 3}. Sell at 33.85 (34262355). [-1, 33.85].
[34263200] {2, -100, 2}. Buy at 33.87 (34263135). [0, -0.02].
[34263600] {2, 200, 2}. Sell at 33.87 (34263567). [-1, 33.85].
[34269200] {3, -800, 3}. Buy at 33.85 (34269155). [0, 0.00].
[34276800] {2, 100, 2}. Sell at 33.84 (34276727). [-1, 33.84].
[34277200] {2, -100, 2}. Buy at 33.84 (34277124). [0, 0.00].
[34286400] {2, -100, 2}. Buy at 33.84 (34286101). [1, -33.84].
[34298800] {1, -100, 1}. Buy at 33.81 (34298762). [2, -67.65].
[34302000] {4, 100, 4}. Sell at 33.81 (34301978). [1, -33.84].
[34314800] {2, -100, 2}. Buy at 33.85 (34314418). [2, -67.69].
[34318400] {1, 100, 1}. Sell at 33.83 (34318391). [1, -33.86].
[34333200] {3, -200, 3}. Buy at 33.84 (34333086). [2, -67.70].
[34346000] {2, -100, 2}. Buy at 33.83 (34345964). [3, -101.53].
[34348000] {4, 200, 4}. Sell at 33.85 (34347988). [2, -67.68].
[34351600] {4, 100, 4}. Sell at 33.87 (34351484). [1, -33.81].
[34357600] {1, 100, 1}. Sell at 33.89 (34357379). [0, 0.08].
[34358400] {1, -100, 1}. Buy at 33.90 (34358400). [1, -33.82].
[34368400] {2, -100, 2}. Buy at 33.89 (34368391). [2, -67.71].
[34376400] {4, -100, 4}. Buy at 33.89 (34376202). [3, -101.60].
[34376800] {4, -100, 4}. Buy at 33.89 (34376726). [4, -135.49].
[34380000] {1, 100, 1}. Sell at 33.89 (34380000). [3, -101.60].
[34385200] {1, 100, 1}. Sell at 33.89 (34385007). [2, -67.71].
[34420000] {3, -100, 3}. Buy at 33.93 (34419907). [3, -101.64].
[34422800] {3, -100, 3}. Buy at 33.95 (34422639). [4, -135.59].
[34440800] {1, 100, 1}. Sell at 33.95 (34440772). [3, -101.64].
[34442000] {2, 100, 2}. Sell at 33.94 (34441805). [2, -67.70].
[34488400] {3, 100, 3}. Sell at 33.93 (34488395). [1, -33.77].
[34490800] {3, 100, 3}. Sell at 33.93 (34490588). [0, 0.16].
[34514000] {2, -100, 2}. Buy at 33.93 (34513753). [1, -33.77].
[34530000] {3, 100, 3}. Sell at 33.91 (34529936). [0, 0.14].
[34544000] {2, -100, 2}. Buy at 33.91 (34543941). [1, -33.77].
[34562800] {2, -100, 2}. Buy at 33.85 (34562743). [2, -67.62].
[34570400] {2, -100, 2}. Buy at 33.83 (34570395). [3, -101.45].
[34572800] {1, -100, 1}. Buy at 33.83 (34572684). [4, -135.28].
[34596400] {3, 200, 3}. Sell at 33.86 (34596264). [3, -101.42].
[34606000] {2, 100, 2}. Sell at 33.89 (34605846). [2, -67.53].
[34631200] {4, 100, 4}. Sell at 33.94 (34631191). [1, -33.59].
[34640000] {2, 100, 2}. Sell at 33.93 (34639978). [0, 0.34].
[34641200] {2, 200, 2}. Sell at 33.95 (34641199). [-1, 34.29].
[34662000] {1, 100, 1}. Sell at 33.93 (34661998). [-2, 68.22].
[34680000] {4, 100, 4}. Sell at 33.94 (34679868). [-3, 102.16].
[34693600] {4, 100, 4}. Sell at 33.97 (34693581). [-4, 136.13].
[34700000] {2, -100, 2}. Buy at 33.98 (34699783). [-3, 102.15].
[34732400] {2, -200, 2}. Buy at 33.95 (34732157). [-2, 68.20].
[34739600] {1, -100, 1}. Buy at 33.94 (34739596). [-1, 34.26].
[34742800] {2, -100, 2}. Buy at 33.92 (34742704). [0, 0.34].
[34766400] {3, 100, 3}. Sell at 33.92 (34766297). [-1, 34.26].
[34774400] {3, 100, 3}. Sell at 33.97 (34774394). [-2, 68.23].
[34775200] {2, 100, 2}. Sell at 33.98 (34775131). [-3, 102.21].
[34801600] {2, -100, 2}. Buy at 33.98 (34801505). [-2, 68.23].
[34804800] {2, -100, 2}. Buy at 33.97 (34804628). [-1, 34.26].
[34806800] {2, -100, 2}. Buy at 33.96 (34806761). [0, 0.30].
[34813200] {1, -100, 1}. Buy at 33.94 (34813113). [1, -33.64].
[34817200] {3, 100, 3}. Sell at 33.94 (34817161). [0, 0.30].
[34824000] {2, -100, 2}. Buy at 33.95 (34823841). [1, -33.65].
[34849200] {1, -100, 1}. Buy at 33.91 (34849129). [2, -67.56].
[34857200] {1, -100, 1}. Buy at 33.94 (34857171). [3, -101.50].
[34869600] {2, -100, 2}. Buy at 33.93 (34869598). [4, -135.43].
[34872400] {1, -100, 1}. Buy at 33.93 (34872393). [5, -169.36].
[34892800] {3, 200, 3}. Sell at 33.92 (34892796). [4, -135.44].
[34932400] {1, -100, 1}. Buy at 33.93 (34932376). [5, -169.37].
[34933200] {2, -100, 2}. Buy at 33.92 (34933174). [6, -203.29].
[34935600] {1, -100, 1}. Buy at 33.91 (34935388). [7, -237.20].
[34938800] {3, 100, 3}. Sell at 33.91 (34938763). [6, -203.29].
[34955200] {3, -100, 3}. Buy at 33.92 (34955054). [7, -237.21].
[34971600] {3, 100, 3}. Sell at 33.92 (34971591). [6, -203.29].
[34980400] {2, 100, 2}. Sell at 33.93 (34980400). [5, -169.36].
[34983200] {3, 100, 3}. Sell at 33.94 (34983185). [4, -135.42].
[35010800] {1, -200, 1}. Buy at 33.91 (35010742). [5, -169.33].
[35033200] {3, 100, 3}. Sell at 33.92 (35033189). [4, -135.41].
[35038400] {4, 100, 4}. Sell at 33.93 (35038391). [3, -101.48].
