[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34201600] {2, 300, 2}.   Buy at 110.47 (34201572). [1, -110.47].
[34204000] {2, -200, 2}. Sell at 110.38 (34203987). [0, -0.09].
[34204800] {2, -500, 2}. Sell at 110.33 (34204780). [-1, 110.24].
[34205600] {2, -100, 2}. Sell at 110.32 (34205200). [-2, 220.56].
[34213600] {1, -300, 1}. Sell at 110.40 (34213524). [-3, 330.96].
[34220800] {3, 300, 3}.   Buy at 110.40 (34220660). [-2, 220.56].
[34224800] {1, 100, 1}.   Buy at 110.47 (34224445). [-1, 110.09].
[34227200] {1, 1700, 1}.   Buy at 110.47 (34226834). [0, -0.38].
[34235200] {1, 100, 1}.   Buy at 110.42 (34234919). [1, -110.80].
[34241600] {1, 200, 1}.   Buy at 110.42 (34241518). [2, -221.22].
[34243200] {1, 300, 1}.   Buy at 110.42 (34242947). [3, -331.64].
[34244000] {1, 400, 1}.   Buy at 110.42 (34243977). [4, -442.06].
[34244800] {1, 400, 1}.   Buy at 110.42 (34244703). [5, -552.48].
[34245600] {1, -300, 1}. Sell at 110.31 (34245083). [4, -442.17].
[34247200] {1, 300, 1}.   Buy at 110.42 (34247184). [5, -552.59].
[34248000] {1, 200, 1}.   Buy at 110.42 (34247243). [6, -663.01].
[34248800] {1, 100, 1}.   Buy at 110.42 (34248263). [7, -773.43].
[34249600] {1, 200, 1}.   Buy at 110.42 (34249371). [8, -883.85].
[34250400] {1, 100, 1}.   Buy at 110.42 (34250397). [9, -994.27].
[34251200] {1, 200, 1}.   Buy at 110.42 (34250447). [10, -1104.69].
[34252000] {1, 200, 1}.   Buy at 110.42 (34251873). [11, -1215.11].
[34252800] {1, 200, 1}.   Buy at 110.42 (34252601). [12, -1325.53].
[34253600] {1, 300, 1}.   Buy at 110.42 (34252894). [13, -1435.95].
[34254400] {1, 500, 1}.   Buy at 110.47 (34254201). [14, -1546.42].
[34255200] {1, -600, 1}. Sell at 110.33 (34255005). [13, -1436.09].
[34262400] {1, 300, 1}.   Buy at 110.47 (34262051). [14, -1546.56].
[34268800] {2, 100, 2}.   Buy at 110.47 (34268758). [15, -1657.03].
[34269600] {2, -100, 2}. Sell at 110.39 (34269375). [14, -1546.64].
[34276000] {1, -100, 1}. Sell at 110.39 (34275831). [13, -1436.25].
[34280800] {1, 100, 1}.   Buy at 110.50 (34280704). [14, -1546.75].
[34281600] {1, -100, 1}. Sell at 110.39 (34280947). [13, -1436.36].
[34282400] {1, 100, 1}.   Buy at 110.50 (34281959). [14, -1546.86].
[34296000] {1, 100, 1}.   Buy at 110.50 (34295911). [15, -1657.36].
[34296800] {1, 300, 1}.   Buy at 110.50 (34296059). [16, -1767.86].
[34303200] {1, -200, 1}. Sell at 110.43 (34303008). [15, -1657.43].
[34308000] {1, 100, 1}.   Buy at 110.50 (34307962). [16, -1767.93].
[34313600] {1, 100, 1}.   Buy at 110.50 (34313033). [17, -1878.43].
[34322400] {1, 100, 1}.   Buy at 110.50 (34322032). [18, -1988.93].
[34330400] {2, 300, 2}.   Buy at 110.59 (34330146). [19, -2099.52].
[34352800] {1, 100, 1}.   Buy at 110.59 (34352425). [20, -2210.11].
[34354400] {1, 100, 1}.   Buy at 110.59 (34354393). [21, -2320.70].
[34356000] {1, 100, 1}.   Buy at 110.59 (34355700). [22, -2431.29].
[34356800] {1, 100, 1}.   Buy at 110.59 (34356790). [23, -2541.88].
[34358400] {1, 100, 1}.   Buy at 110.59 (34358173). [24, -2652.47].
[34359200] {1, -400, 1}. Sell at 110.51 (34359162). [23, -2541.96].
[34362400] {2, -400, 2}. Sell at 110.47 (34362367). [22, -2431.49].
[34363200] {2, 100, 2}.   Buy at 110.58 (34363125). [23, -2542.07].
[34364000] {2, 100, 2}.   Buy at 110.58 (34363928). [24, -2652.65].
[34369600] {2, 200, 2}.   Buy at 110.58 (34369542). [25, -2763.23].
[34370400] {2, 100, 2}.   Buy at 110.58 (34370301). [26, -2873.81].
