[34203000] IB_p=2, DS_p=200, IB_c=2. Buy asset.
[34205000] IB_p=2, DS_p=300, IB_c=2. Buy asset.
[34206000] IB_p=2, DS_p=200, IB_c=2. Buy asset.
[34207000] IB_p=2, DS_p=-100, IB_c=2. Sell asset.
[34210000] IB_p=1, DS_p=100, IB_c=1. Buy asset.
[34234000] IB_p=2, DS_p=-100, IB_c=2. Sell asset.
[34255000] IB_p=1, DS_p=-100, IB_c=1. Sell asset.
[34264000] IB_p=2, DS_p=400, IB_c=2. Buy asset.
[34267000] IB_p=1, DS_p=-100, IB_c=1. Sell asset.
[34277000] IB_p=3, DS_p=-100, IB_c=3. Sell asset.
[34288000] IB_p=2, DS_p=-100, IB_c=2. Sell asset.
[34320000] IB_p=1, DS_p=100, IB_c=1. Buy asset.
[34334000] IB_p=2, DS_p=200, IB_c=2. Buy asset.
[34350000] IB_p=3, DS_p=100, IB_c=3. Buy asset.
[34353000] IB_p=3, DS_p=100, IB_c=3. Buy asset.
[34366000] IB_p=2, DS_p=100, IB_c=2. Buy asset.
[34378000] IB_p=3, DS_p=-100, IB_c=3. Sell asset.
[34385000] IB_p=1, DS_p=-100, IB_c=1. Sell asset.
[34387000] IB_p=1, DS_p=-100, IB_c=1. Sell asset.
[34417000] IB_p=3, DS_p=-100, IB_c=3. Sell asset.
[34443000] IB_p=1, DS_p=-200, IB_c=1. Sell asset.
[34492000] IB_p=2, DS_p=100, IB_c=2. Buy asset.
[34506000] IB_p=2, DS_p=-200, IB_c=2. Sell asset.
[34572000] IB_p=2, DS_p=-100, IB_c=2. Sell asset.
[34574000] IB_p=1, DS_p=-100, IB_c=1. Sell asset.
[34598000] IB_p=3, DS_p=200, IB_c=3. Buy asset.
[34601000] IB_p=3, DS_p=100, IB_c=3. Buy asset.
[34626000] IB_p=3, DS_p=200, IB_c=3. Buy asset.
[34633000] IB_p=3, DS_p=100, IB_c=3. Buy asset.
[34641000] IB_p=2, DS_p=-200, IB_c=2. Sell asset.
[34643000] IB_p=2, DS_p=100, IB_c=2. Buy asset.
[34684000] IB_p=3, DS_p=100, IB_c=3. Buy asset.
[34695000] IB_p=3, DS_p=100, IB_c=3. Buy asset.
[34719000] IB_p=2, DS_p=-100, IB_c=2. Sell asset.
[34776000] IB_p=2, DS_p=100, IB_c=2. Buy asset.
[34808000] IB_p=2, DS_p=-100, IB_c=2. Sell asset.
[34810000] IB_p=1, DS_p=-100, IB_c=1. Sell asset.
[34853000] IB_p=2, DS_p=400, IB_c=2. Buy asset.
[34934000] IB_p=1, DS_p=-100, IB_c=1. Sell asset.
[34935000] IB_p=1, DS_p=-100, IB_c=1. Sell asset.
[34937000] IB_p=1, DS_p=-100, IB_c=1. Sell asset.
[35020000] IB_p=2, DS_p=100, IB_c=2. Buy asset.
[35040000] IB_p=3, DS_p=100, IB_c=3. Buy asset.
[35103000] IB_p=2, DS_p=-100, IB_c=2. Sell asset.
[35123000] IB_p=2, DS_p=100, IB_c=2. Buy asset.
[35166000] IB_p=3, DS_p=100, IB_c=3. Buy asset.
[35374000] IB_p=2, DS_p=-100, IB_c=2. Sell asset.
[35380000] IB_p=2, DS_p=-100, IB_c=2. Sell asset.
[35460000] IB_p=3, DS_p=100, IB_c=3. Buy asset.
[35581000] IB_p=1, DS_p=-100, IB_c=1. Sell asset.
[35702000] IB_p=2, DS_p=-100, IB_c=2. Sell asset.
[35873000] IB_p=2, DS_p=100, IB_c=2. Buy asset.
[35918000] IB_p=1, DS_p=-100, IB_c=1. Sell asset.
[35958000] IB_p=1, DS_p=-200, IB_c=1. Sell asset.
[36055000] IB_p=1, DS_p=100, IB_c=1. Buy asset.
[36150000] IB_p=2, DS_p=100, IB_c=2. Buy asset.
[36224000] IB_p=2, DS_p=100, IB_c=2. Buy asset.
[36275000] IB_p=1, DS_p=100, IB_c=1. Buy asset.
[36362000] IB_p=2, DS_p=100, IB_c=2. Buy asset.
[36401000] IB_p=2, DS_p=100, IB_c=2. Buy asset.
[36595000] IB_p=2, DS_p=-200, IB_c=2. Sell asset.
[36596000] IB_p=2, DS_p=-100, IB_c=2. Sell asset.
[36601000] IB_p=2, DS_p=-100, IB_c=2. Sell asset.
[36790000] IB_p=1, DS_p=-100, IB_c=1. Sell asset.
[36831000] IB_p=2, DS_p=100, IB_c=2. Buy asset.
