[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34400000] {2, -500, 2}. Sell back long 1 at 110.53 (34399995). [0, -4.84].
[34400000] {2, -500, 2}. Sell at 110.53 (34399995). [-1, 105.69].
[34400800] {2, 100, 2}. Buy back short -1 at 110.57 (34400604). [0, -4.88].
[34400800] {2, 100, 2}.   Buy at 110.57 (34400604). [1, -115.45].
[34402400] {2, 100, 2}.   Buy at 110.57 (34402118). [2, -226.02].
[34419200] {2, 100, 2}.   Buy at 110.65 (34419151). [3, -336.67].
[34422400] {2, 300, 2}.   Buy at 110.69 (34422284). [4, -447.36].
[34452800] {2, 100, 2}.   Buy at 110.66 (34452784). [5, -558.02].
[34476800] {2, 100, 2}.   Buy at 110.65 (34476535). [6, -668.67].
[34478400] {2, 100, 2}.   Buy at 110.65 (34478205). [7, -779.32].
[34485600] {2, -300, 2}. Sell back long 7 at 110.57 (34485515). [0, -5.33].
[34485600] {2, -300, 2}. Sell at 110.57 (34485515). [-1, 105.24].
[34496800] {2, 100, 2}. Buy back short -1 at 110.61 (34496622). [0, -5.37].
[34496800] {2, 100, 2}.   Buy at 110.61 (34496622). [1, -115.98].
[34500800] {2, -300, 2}. Sell back long 1 at 110.54 (34500765). [0, -5.44].
[34500800] {2, -300, 2}. Sell at 110.54 (34500765). [-1, 105.10].
[34504000] {2, 100, 2}. Buy back short -1 at 110.59 (34503682). [0, -5.49].
[34504000] {2, 100, 2}.   Buy at 110.59 (34503682). [1, -116.08].
[34513600] {2, -100, 2}. Sell back long 1 at 110.54 (34513265). [0, -5.54].
[34513600] {2, -100, 2}. Sell at 110.54 (34513265). [-1, 105.00].
[34518400] {2, 100, 2}. Buy back short -1 at 110.59 (34518332). [0, -5.59].
[34518400] {2, 100, 2}.   Buy at 110.59 (34518332). [1, -116.18].
[34520800] {2, -200, 2}. Sell back long 1 at 110.53 (34520639). [0, -5.65].
[34520800] {2, -200, 2}. Sell at 110.53 (34520639). [-1, 104.88].
[34521600] {2, -100, 2}. Sell at 110.52 (34521337). [-2, 215.40].
[34559200] {2, -400, 2}. Sell at 110.48 (34559006). [-3, 325.88].
[34560800] {2, -400, 2}. Sell at 110.44 (34560781). [-4, 436.32].
[34562400] {3, 100, 3}. Buy back short -4 at 110.53 (34562195). [0, -5.80].
[34562400] {3, 100, 3}.   Buy at 110.53 (34562195). [1, -116.33].
[34565600] {3, -100, 3}. Sell back long 1 at 110.44 (34565300). [0, -5.89].
[34565600] {3, -100, 3}. Sell at 110.44 (34565300). [-1, 104.55].
[34568800] {2, -300, 2}. Sell at 110.41 (34568775). [-2, 214.96].
[34570400] {1, 100, 1}. Buy back short -2 at 110.48 (34570185). [0, -6.00].
[34570400] {1, 100, 1}.   Buy at 110.48 (34570185). [1, -116.48].
[34627200] {2, -1700, 2}. Sell back long 1 at 110.31 (34627146). [0, -6.17].
[34627200] {2, -1700, 2}. Sell at 110.31 (34627146). [-1, 104.14].
[34628000] {2, 100, 2}. Buy back short -1 at 110.38 (34627966). [0, -6.24].
[34628000] {2, 100, 2}.   Buy at 110.38 (34627966). [1, -116.62].
[34634400] {1, -200, 1}. Sell back long 1 at 110.30 (34634312). [0, -6.32].
[34634400] {1, -200, 1}. Sell at 110.30 (34634312). [-1, 103.98].
[34659200] {1, -200, 1}. Sell at 110.30 (34659113). [-2, 214.28].
[34673600] {1, -200, 1}. Sell at 110.28 (34673594). [-3, 324.56].
[34679200] {2, -100, 2}. Sell at 110.29 (34679114). [-4, 434.85].
[34680000] {2, 100, 2}. Buy back short -4 at 110.39 (34679706). [0, -6.71].
[34680000] {2, 100, 2}.   Buy at 110.39 (34679706). [1, -117.10].
[34687200] {2, 100, 2}.   Buy at 110.40 (34686862). [2, -227.50].
[34688000] {2, -100, 2}. Sell back long 2 at 110.30 (34687965). [0, -6.90].
[34688000] {2, -100, 2}. Sell at 110.30 (34687965). [-1, 103.40].
[34689600] {2, 700, 2}. Buy back short -1 at 110.39 (34689538). [0, -6.99].
[34689600] {2, 700, 2}.   Buy at 110.39 (34689538). [1, -117.38].
[34693600] {2, 800, 2}.   Buy at 110.39 (34693408). [2, -227.77].
[34694400] {2, 1300, 2}.   Buy at 110.41 (34694395). [3, -338.18].
[34696800] {2, -100, 2}. Sell back long 3 at 110.34 (34696342). [0, -7.16].
[34696800] {2, -100, 2}. Sell at 110.34 (34696342). [-1, 103.18].
[34697600] {2, 1000, 2}. Buy back short -1 at 110.41 (34697077). [0, -7.23].
[34697600] {2, 1000, 2}.   Buy at 110.41 (34697077). [1, -117.64].
[34700000] {2, -100, 2}. Sell back long 1 at 110.34 (34699996). [0, -7.30].
[34700000] {2, -100, 2}. Sell at 110.34 (34699996). [-1, 103.04].
[34701600] {2, 100, 2}. Buy back short -1 at 110.41 (34701527). [0, -7.37].
[34701600] {2, 100, 2}.   Buy at 110.41 (34701527). [1, -117.78].
[34704000] {2, 1000, 2}.   Buy at 110.41 (34703426). [2, -228.19].
[34705600] {2, 1000, 2}.   Buy at 110.41 (34705217). [3, -338.60].
[34706400] {2, 1000, 2}.   Buy at 110.41 (34706332). [4, -449.01].
[34720000] {2, 400, 2}.   Buy at 110.44 (34719711). [5, -559.45].
[34721600] {2, 300, 2}.   Buy at 110.44 (34721432). [6, -669.89].
[34724000] {2, -200, 2}. Sell back long 6 at 110.37 (34723924). [0, -7.67].
[34724000] {2, -200, 2}. Sell at 110.37 (34723924). [-1, 102.70].
[34734400] {2, 200, 2}. Buy back short -1 at 110.44 (34733939). [0, -7.74].
[34734400] {2, 200, 2}.   Buy at 110.44 (34733939). [1, -118.18].
[34737600] {2, -100, 2}. Sell back long 1 at 110.38 (34737478). [0, -7.80].
[34737600] {2, -100, 2}. Sell at 110.38 (34737478). [-1, 102.58].
[34752800] {2, 100, 2}. Buy back short -1 at 110.48 (34752789). [0, -7.90].
[34752800] {2, 100, 2}.   Buy at 110.48 (34752789). [1, -118.38].
[34764800] {2, 200, 2}.   Buy at 110.51 (34764798). [2, -228.89].
[34818400] {2, 100, 2}.   Buy at 110.52 (34818369). [3, -339.41].
[34819200] {2, 300, 2}.   Buy at 110.52 (34818975). [4, -449.93].
[34821600] {2, 100, 2}.   Buy at 110.55 (34821341). [5, -560.48].
[34843200] {2, 400, 2}.   Buy at 110.49 (34843191). [6, -670.97].
[34844000] {2, -100, 2}. Sell back long 6 at 110.42 (34843927). [0, -8.45].
[34844000] {2, -100, 2}. Sell at 110.42 (34843927). [-1, 101.97].
[34854400] {2, 600, 2}. Buy back short -1 at 110.49 (34854130). [0, -8.52].
[34854400] {2, 600, 2}.   Buy at 110.49 (34854130). [1, -119.01].
[34861600] {2, 100, 2}.   Buy at 110.55 (34861566). [2, -229.56].
[34879200] {3, 100, 3}.   Buy at 110.56 (34879115). [3, -340.12].
[34936000] {2, -300, 2}. Sell back long 3 at 110.49 (34935943). [0, -8.65].
[34936000] {2, -300, 2}. Sell at 110.49 (34935943). [-1, 101.84].
[34944000] {3, 100, 3}. Buy back short -1 at 110.55 (34943951). [0, -8.71].
[34944000] {3, 100, 3}.   Buy at 110.55 (34943951). [1, -119.26].
[34954400] {3, 100, 3}.   Buy at 110.56 (34954334). [2, -229.82].
[34970400] {1, -200, 1}. Sell back long 2 at 110.51 (34970363). [0, -8.80].
[34970400] {1, -200, 1}. Sell at 110.51 (34970363). [-1, 101.71].
[34974400] {3, 100, 3}. Buy back short -1 at 110.54 (34974366). [0, -8.83].
[34974400] {3, 100, 3}.   Buy at 110.54 (34974366). [1, -119.37].
[34995200] {2, 100, 2}.   Buy at 110.54 (34995176). [2, -229.91].
[35002400] {1, -100, 1}. Sell back long 2 at 110.51 (35001849). [0, -8.89].
[35002400] {1, -100, 1}. Sell at 110.51 (35001849). [-1, 101.62].
[35005600] {2, 200, 2}. Buy back short -1 at 110.55 (35004952). [0, -8.93].
[35005600] {2, 200, 2}.   Buy at 110.55 (35004952). [1, -119.48].
[35046400] {2, 200, 2}.   Buy at 110.56 (35045982). [2, -230.04].
[35056800] {2, 100, 2}.   Buy at 110.56 (35056776). [3, -340.60].
[35061600] {2, 100, 2}.   Buy at 110.56 (35061540). [4, -451.16].
[35090400] {1, 200, 1}.   Buy at 110.53 (35090364). [5, -561.69].
[35098400] {2, 100, 2}.   Buy at 110.55 (35098150). [6, -672.24].
[35100800] {2, 100, 2}.   Buy at 110.55 (35100680). [7, -782.79].
[35109600] {2, -100, 2}. Sell back long 7 at 110.54 (35109301). [0, -9.01].
[35109600] {2, -100, 2}. Sell at 110.54 (35109301). [-1, 101.53].
[35124800] {2, -300, 2}. Sell at 110.50 (35124734). [-2, 212.03].
[35127200] {2, 100, 2}. Buy back short -2 at 110.47 (35127177). [0, -8.91].
[35127200] {2, 100, 2}.   Buy at 110.47 (35127177). [1, -119.38].
[35137600] {2, 100, 2}.   Buy at 110.46 (35137517). [2, -229.84].
[35138400] {2, -100, 2}. Sell back long 2 at 110.44 (35138126). [0, -8.96].
[35138400] {2, -100, 2}. Sell at 110.44 (35138126). [-1, 101.48].
[35144800] {3, 100, 3}. Buy back short -1 at 110.48 (35144773). [0, -9.00].
[35144800] {3, 100, 3}.   Buy at 110.48 (35144773). [1, -119.48].
[35146400] {3, 100, 3}.   Buy at 110.48 (35146300). [2, -229.96].
[35156000] {2, -700, 2}. Sell back long 2 at 110.40 (35155975). [0, -9.16].
[35156000] {2, -700, 2}. Sell at 110.40 (35155975). [-1, 101.24].
[35158400] {1, -500, 1}. Sell at 110.38 (35158389). [-2, 211.62].
[35164800] {2, 200, 2}. Buy back short -2 at 110.43 (35164731). [0, -9.24].
