[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34734000] {2, 200, 2}.   Buy at 110.44 (34733939). [30, -3316.13].
[34738000] {3, -100, 3}. Sell at 110.38 (34737997). [29, -3205.75].
[34803000] {2, 200, 2}.   Buy at 110.46 (34802765). [30, -3316.21].
[34819000] {3, 600, 3}.   Buy at 110.52 (34818975). [31, -3426.73].
[34822000] {2, 100, 2}.   Buy at 110.55 (34821806). [32, -3537.28].
[34853000] {2, 600, 2}.   Buy at 110.49 (34852970). [33, -3647.77].
[34862000] {3, 100, 3}.   Buy at 110.55 (34861782). [34, -3758.32].
[34875000] {3, 200, 3}.   Buy at 110.55 (34874932). [35, -3868.87].
[34879000] {4, 100, 4}.   Buy at 110.55 (34878820). [36, -3979.42].
[34908000] {3, 200, 3}.   Buy at 110.56 (34907966). [37, -4089.98].
[34932000] {2, 100, 2}.   Buy at 110.56 (34931246). [38, -4200.54].
[34933000] {2, -300, 2}. Sell at 110.52 (34932966). [37, -4090.02].
[34936000] {3, -300, 3}. Sell at 110.49 (34935943). [36, -3979.53].
[34938000] {3, 100, 3}.   Buy at 110.54 (34937965). [37, -4090.07].
[34944000] {4, 100, 4}.   Buy at 110.55 (34943951). [38, -4200.62].
[34975000] {4, 100, 4}.   Buy at 110.54 (34974926). [39, -4311.16].
[35002000] {1, -100, 1}. Sell at 110.51 (35001849). [38, -4200.65].
[35005000] {3, 200, 3}.   Buy at 110.55 (35004952). [39, -4311.20].
[35046000] {2, 100, 2}.   Buy at 110.56 (35045982). [40, -4421.76].
[35057000] {3, 100, 3}.   Buy at 110.56 (35056929). [41, -4532.32].
[35063000] {2, -500, 2}. Sell at 110.50 (35062965). [40, -4421.82].
[35090000] {1, 100, 1}.   Buy at 110.53 (35089923). [41, -4532.35].
[35101000] {3, 100, 3}.   Buy at 110.56 (35100992). [42, -4642.91].
[35126000] {3, -700, 3}. Sell at 110.42 (35125954). [41, -4532.49].
[35127000] {3, 100, 3}.   Buy at 110.47 (35126959). [42, -4642.96].
[35132000] {2, 100, 2}.   Buy at 110.46 (35131815). [43, -4753.42].
[35169000] {2, 300, 2}.   Buy at 110.47 (35169000). [44, -4863.89].
[35174000] {3, -200, 3}. Sell at 110.42 (35173874). [43, -4753.47].
[35183000] {3, 200, 3}.   Buy at 110.53 (35182992). [44, -4864.00].
[35187000] {3, 200, 3}.   Buy at 110.50 (35186966). [45, -4974.50].
[35195000] {2, -300, 2}. Sell at 110.47 (35194992). [44, -4864.03].
[35204000] {3, 100, 3}.   Buy at 110.49 (35203816). [45, -4974.52].
[35208000] {3, 100, 3}.   Buy at 110.50 (35207965). [46, -5085.02].
[35212000] {3, 200, 3}.   Buy at 110.55 (35211755). [47, -5195.57].
[35221000] {1, -200, 1}. Sell at 110.47 (35220984). [46, -5085.10].
[35224000] {1, -100, 1}. Sell at 110.46 (35223776). [45, -4974.64].
[35237000] {2, -300, 2}. Sell at 110.43 (35236757). [44, -4864.21].
[35243000] {2, 300, 2}.   Buy at 110.50 (35242992). [45, -4974.71].
[35248000] {3, 400, 3}.   Buy at 110.55 (35247966). [46, -5085.26].
[35260000] {2, 300, 2}.   Buy at 110.53 (35259896). [47, -5195.79].
[35265000] {3, 100, 3}.   Buy at 110.49 (35264943). [48, -5306.28].
[35277000] {3, 100, 3}.   Buy at 110.49 (35276913). [49, -5416.77].
[35287000] {3, 100, 3}.   Buy at 110.51 (35286806). [50, -5527.28].
[35295000] {3, 100, 3}.   Buy at 110.51 (35294970). [51, -5637.79].
[35300000] {3, 100, 3}.   Buy at 110.56 (35299796). [52, -5748.35].
[35308000] {2, 100, 2}.   Buy at 110.53 (35307998). [53, -5858.88].
[35310000] {2, 100, 2}.   Buy at 110.57 (35309877). [54, -5969.45].
[35314000] {3, 100, 3}.   Buy at 110.56 (35313959). [55, -6080.01].
[35335000] {2, 200, 2}.   Buy at 110.53 (35334665). [56, -6190.54].
[35337000] {2, 200, 2}.   Buy at 110.53 (35336999). [57, -6301.07].
[35350000] {2, 100, 2}.   Buy at 110.55 (35349804). [58, -6411.62].
[35351000] {2, 100, 2}.   Buy at 110.56 (35350914). [59, -6522.18].
[35352000] {2, -100, 2}. Sell at 110.54 (35351895). [58, -6411.64].
[35359000] {2, 100, 2}.   Buy at 110.56 (35358848). [59, -6522.20].
[35365000] {1, -100, 1}. Sell at 110.54 (35364956). [58, -6411.66].
[35368000] {2, -100, 2}. Sell at 110.48 (35367966). [57, -6301.18].
[35369000] {2, -100, 2}. Sell at 110.47 (35368962). [56, -6190.71].
[35370000] {2, -100, 2}. Sell at 110.46 (35369980). [55, -6080.25].
[35389000] {3, 600, 3}.   Buy at 110.52 (35388631). [56, -6190.77].
[35395000] {1, -100, 1}. Sell at 110.47 (35394997). [55, -6080.30].
[35413000] {2, -100, 2}. Sell at 110.48 (35412965). [54, -5969.82].
[35414000] {2, -200, 2}. Sell at 110.46 (35413870). [53, -5859.36].
[35421000] {2, -100, 2}. Sell at 110.46 (35420990). [52, -5748.90].
[35433000] {2, -100, 2}. Sell at 110.47 (35432965). [51, -5638.43].
[35445000] {2, 100, 2}.   Buy at 110.51 (35444944). [52, -5748.94].
[35457000] {3, 100, 3}.   Buy at 110.54 (35456932). [53, -5859.48].
[35461000] {3, 100, 3}.   Buy at 110.55 (35460735). [54, -5970.03].
[35480000] {2, 100, 2}.   Buy at 110.53 (35479990). [55, -6080.56].
[35513000] {3, -200, 3}. Sell at 110.51 (35512965). [54, -5970.05].
[35520000] {3, -200, 3}. Sell at 110.51 (35519817). [53, -5859.54].
[35523000] {3, -300, 3}. Sell at 110.51 (35522891). [52, -5749.03].
[35561000] {3, 200, 3}.   Buy at 110.52 (35560994). [53, -5859.55].
[35571000] {3, 400, 3}.   Buy at 110.56 (35570959). [54, -5970.11].
[35582000] {2, -100, 2}. Sell at 110.51 (35581905). [53, -5859.60].
[35586000] {3, 100, 3}.   Buy at 110.53 (35585984). [54, -5970.13].
[35594000] {3, 100, 3}.   Buy at 110.56 (35593764). [55, -6080.69].
[35608000] {3, 100, 3}.   Buy at 110.55 (35607965). [56, -6191.24].
[35611000] {2, -100, 2}. Sell at 110.52 (35611000). [55, -6080.72].
[35619000] {2, -100, 2}. Sell at 110.46 (35618991). [54, -5970.26].
[35642000] {2, 200, 2}.   Buy at 110.52 (35641818). [55, -6080.78].
[35647000] {3, 200, 3}.   Buy at 110.55 (35646968). [56, -6191.33].
[35655000] {2, -200, 2}. Sell at 110.52 (35654983). [55, -6080.81].
[35666000] {2, -200, 2}. Sell at 110.50 (35665949). [54, -5970.31].
[35668000] {2, 100, 2}.   Buy at 110.55 (35667965). [55, -6080.86].
[35672000] {3, -100, 3}. Sell at 110.50 (35671910). [54, -5970.36].
[35708000] {2, 200, 2}.   Buy at 110.55 (35707965). [55, -6080.91].
[35711000] {3, 100, 3}.   Buy at 110.56 (35710893). [56, -6191.47].
[35726000] {2, 100, 2}.   Buy at 110.54 (35725832). [57, -6302.01].
[35739000] {3, 100, 3}.   Buy at 110.57 (35738890). [58, -6412.58].
[35785000] {1, -100, 1}. Sell at 110.52 (35784939). [57, -6302.06].
